Date,MMAX,AAPL,AMZN,GOOGL,MCD,GM,TSLA,PFE,SBUX,TWTR,VZ,WYNN,KHC,JNJ,HST,HLT,FDX,DPZ,SP500,DJIA,VIXCLS,DEXJPUS,DEXUSUK,DEXUSEU
20,31.41807556,35.58044434,51.43500137,992.1900024,136.8990784,32.53240204,65.98400116,26.46059799,52.49749756,20.53000069,35.8092041,123.4345322,68.43503571,119.738884,15.77234364,60.70131302,199.5609589,202.928421,2473.45,21611.78,9.58,111.68,1.2976,1.1634
21,31.54559708,35.56388474,51.28350067,993.8400269,136.6415863,32.22860336,65.68000031,26.4132576,52.45225906,20.11000061,35.81729507,125.4356995,68.64216614,118.6341476,15.69369698,61.15161896,200.1542969,203.6734619,2472.54,21580.07,9.36,111.18,1.2968,1.1655
22,31.68905067,35.99462128,51.94749832,998.3099976,134.8039703,32.00523376,68.5039978,26.28702736,52.48844528,20,35.3962059,129.5408173,68.68996429,116.6175919,15.70243835,60.70131302,200.3144226,204.3899384,2469.91,21513.17,9.43,111.1,1.3028,1.1642
23,26.46067429,36.14844894,51.99349976,969.0300293,141.2134857,31.78185844,67.91999817,26.11347008,52.96792984,19.96999931,35.61485291,129.9616241,69.64598846,115.6268692,16.11313248,61.74874878,201.9061432,183.7856598,2477.13,21613.43,9.43,111.57,1.3046,1.1656
24,25.77524948,36.31885147,52.63999939,965.3099976,138.9408569,31.82653236,68.76999664,25.94779205,52.41608047,19.61000061,35.9549675,123.4345322,69.83718872,114.8114777,15.74613094,61.20056152,201.209198,178.0829773,2477.83,21711.01,9.6,112.1,1.3048,1.1632
25,25.95059395,35.63251114,52.29999924,952.5100098,139.3314667,32.11245728,66.89199829,26.03457451,53.82735443,16.84000015,38.71637344,119.7128143,70.25943756,114.7062912,16.32284546,61.23971558,195.4732666,174.2620544,2475.42,21796.55,10.11,111.62,1.3065,1.1656
26,25.99044037,35.38164902,51.0019989,958.3300171,138.35495,31.96055984,67.01399994,26.15291595,48.85170746,16.75,38.82164764,120.2551804,69.82125854,115.6005859,16.34905815,61.14182281,195.9441986,174.8925323,2472.1,21830.31,10.29,110.87,1.3124,1.1754
27,26.26939583,35.1994133,49.38899994,945.5,137.7246399,32.14819336,64.69400024,26.16080284,48.83363342,16.09000015,39.19414902,120.9471664,69.67786407,116.3633652,16.30536652,61.21035385,195.9347839,178.1498413,2470.3,21891.12,10.26,110.38,1.3196,1.1826
28,26.59616661,35.51181412,49.80950165,946.5599976,136.7481537,31.05812836,63.91400146,26.09768867,49.51211929,16.20999908,39.59095001,119.6941071,69.04849243,116.1792221,16.52382278,61.4452858,194.6915283,178.1020355,2476.35,21963.92,10.09,110.33,1.3206,1.1799
29,26.63601494,37.18978119,49.79449844,947.6400146,139.0118866,31.11172867,65.1780014,26.22515106,50.14538193,16.06999969,39.0402832,117.7771225,69.20780182,115.8723755,16.28789139,60.67195892,197.3192902,183.7378998,2477.57,22016.24,10.28,110.43,1.3236,1.1861
30,26.75556755,36.81821823,49.34600067,940.2999878,137.3517914,31.06705856,69.41799927,26.63143539,50.37154007,16.18000031,39.36420822,118.1418152,68.92100525,116.9157181,16.06943893,60.81879044,197.1874695,189.354599,2472.16,22026.1,10.44,110.12,1.3144,1.188
31,26.64399147,37.0122757,49.37900162,945.789978,136.5527802,31.51381111,71.38200378,26.79872704,50.15442276,16.29000092,39.60715485,119.2358932,69.04051208,116.7666626,16.29663277,61.6508522,197.1497955,187.9790802,2476.83,22092.81,10.03,110.76,1.3036,1.1754
32,26.6838398,37.58501434,49.61349869,945.75,137.5737152,31.54061317,71.03399658,26.53584099,50.32631683,16.39999962,39.56665802,121.7793808,69.32730865,116.4860916,16.37527466,62.42417526,196.2550201,186.6800079,2480.91,22118.42,9.93,110.76,1.3021,1.1788
33,26.29330635,37.88558578,49.49200058,944.1900024,137.5293427,31.62103081,73.04399872,26.51194,49.54479218,16.14999962,39.35611343,122.0985794,68.64216614,115.968811,15.91214943,60.76984787,194.9646454,183.5372772,2474.92,22085.34,10.96,110.74,1.2968,1.1724
34,25.98247337,38.11751938,49.1004982,940.0800171,137.5293427,31.52274513,72.70600128,26.64736748,48.83596802,16.13999939,39.04839706,121.8920517,68.88116455,116.8104935,15.70243835,60.07482529,194.192337,185.1516571,2474.02,22048.7,11.11,110.04,1.2997,1.1748
35,25.14561272,36.90340042,47.84600067,923.5900269,139.0385132,31.16534424,71.08000183,26.62346649,48.22711563,15.75,38.88642502,118.2967758,68.42706299,116.6877441,15.58010197,59.71263504,191.715271,183.9098358,2438.21,21844.01,16.04,109.37,1.2978,1.1751
36,25.73540115,37.4166069,48.3995018,930.0900269,139.6421967,31.21001816,71.5739975,26.48804092,48.32707596,15.92000008,38.91881943,117.9306641,68.88913727,116.6965179,15.59757996,60.00630951,192.9584808,184.2250519,2441.32,21858.32,15.51,109.06,1.2988,1.1811
37,25.94261932,37.97970963,49.16500092,938.9299927,139.6066742,31.6925087,72.76000214,26.53584099,48.36341858,16.09000015,39.50186539,120.3243866,69.32730865,117.029686,15.72865105,60.44680786,195.7746429,185.2280579,2465.84,21993.71,12.33,109.48,1.2975,1.1786
38,25.72742844,38.39549637,49.13700104,938.0800171,139.9262543,31.75505066,72.46600342,26.59160042,48.29981232,15.94999981,39.25893784,128.0312347,69.10424042,116.9419861,15.68496513,60.89710617,196.9143066,179.7450256,2464.61,21998.99,12.04,110.42,1.2862,1.1736
39,25.88682938,38.24106216,48.9090004,944.2700195,141.0625458,31.9426899,72.58200073,26.57567024,48.6178627,16.15999985,39.20225906,128.0875702,69.41319275,117.6346664,15.92962837,61.26998138,197.4417725,179.2674103,2468.11,22024.87,11.74,110.8,1.286,1.1703
40,25.11373329,37.50688934,48.0284996,927.6599731,140.1659546,31.27256775,70.38400269,26.24905396,48.19985199,15.86999989,38.781147,126.3697128,68.29775238,116.6439209,15.65874863,59.68033981,193.4294434,179.8309937,2430.01,21750.73,15.55,109.88,1.2888,1.1736
41,25.0021534,37.42135239,47.92350006,926.1799927,140.0505524,31.12066841,69.49199677,26.02598953,47.89087296,15.98999977,38.61919785,126.6325455,67.80023956,116.2844391,15.23057652,59.91584015,194.0228424,180.2131042,2425.55,21674.51,14.26,109.32,1.2847,1.1748
42,25.07388115,37.35246277,47.66450119,920.8699951,140.5832062,31.19214821,67.5719986,26.09769058,48.29981232,16.11000061,38.98360062,127.3271942,67.84840393,117.0033798,15.18688488,60.62234879,194.3336487,180.9963989,2428.37,21703.75,13.19,108.89,1.2903,1.1814
43,25.73540115,37.96307373,48.34500122,940.4000244,141.7194672,31.54061317,68.26999664,26.40837288,49.48117828,16.62999916,39.15365982,127.8059235,68.24963379,118.0993195,15.42281628,62.13349152,197.1121216,180.5474548,2452.51,21899.89,11.35,109.4,1.2834,1.1762
44,24.71522713,38.01059723,47.90000153,942.5800171,140.982666,31.71037292,70.55400085,26.48007202,49.14494705,16.95999908,39.09697723,126.491745,68.00887299,116.4334793,15.35291195,61.93724442,195.0306091,179.2865753,2444.04,21812.09,12.25,109.14,1.2787,1.1802
45,24.72319984,37.84190369,47.62250137,936.8900146,140.6275482,31.73718452,70.58599854,26.47210503,49.01772308,16.88999939,39.12126923,125.8815689,66.44408417,116.5123825,15.3791256,61.73117447,194.6538239,175.0930786,2438.97,21783.4,12.23,109.34,1.2802,1.1801
